Project,Category,Voter Profile
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 21, 'Gender': 'Female', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.5772748686892549, 'Impact Preference': 0.3646083745873777}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 25, 'Gender': 'Other', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.3931760826410209, 'Impact Preference': 0.9581768829143092}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 32, 'Gender': 'Female', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.20502878384623952, 'Impact Preference': 0.8161514369584504}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 34, 'Gender': 'Other', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.43685970321229195, 'Impact Preference': 0.5598044450579404}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 29, 'Gender': 'Female', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.8829199586969896, 'Impact Preference': 0.9127511779702194}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 61, 'Gender': 'Female', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.5653740377168273, 'Impact Preference': 0.41506379778469527}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 50, 'Gender': 'Male', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.887170262013026, 'Impact Preference': 0.8615023214079406}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 31, 'Gender': 'Other', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.5398610113236676, 'Impact Preference': 0.6232824978833158}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 45, 'Gender': 'Male', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.8003085877071678, 'Impact Preference': 0.17046297705154884}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 65, 'Gender': 'Other', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.3070297965398511, 'Impact Preference': 0.22838361099286975}}"
IT Infrastructure and Technology Upgrade for SNAP Senior Centeräó»s planned new building,Community Facilities,"{'Age': 44, 'Gender': 'Female', 'Preferences': {'Category': 'Community Facilities', 'Cost Sensitivity': 0.5355602115141018, 'Impact Preference': 0.9458809179461172}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 61, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.23222733648335542, 'Impact Preference': 0.676521617020552}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 48, 'Gender': 'Male', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.8547083098099536, 'Impact Preference': 0.5969862303373501}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 40, 'Gender': 'Male', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.33878940991425915, 'Impact Preference': 0.7446545034116392}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 44, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.9400091420602904, 'Impact Preference': 0.9220080101572158}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 19, 'Gender': 'Female', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.5992004109996271, 'Impact Preference': 0.8636650029765626}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 35, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.860909306149525, 'Impact Preference': 0.9258051629305394}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 64, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.6364879191518704, 'Impact Preference': 0.995654980315455}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 49, 'Gender': 'Female', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.935935537170232, 'Impact Preference': 0.1693153200588297}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 31, 'Gender': 'Female', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.23998060394251627, 'Impact Preference': 0.11022797250940267}}"
 Real Time Passenger Information,Streets and Transportation,"{'Age': 55, 'Gender': 'Male', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.7856326283555344, 'Impact Preference': 0.6700041031463729}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 63, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9194600161650388, 'Impact Preference': 0.9117438441628681}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 54, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6238761208285036, 'Impact Preference': 0.7004365115925878}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 61, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.3688817270186029, 'Impact Preference': 0.4787252402156833}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 57, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6209980338737581, 'Impact Preference': 0.3278923787346344}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 37, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8003982783967334, 'Impact Preference': 0.9164423029587627}}"
